tribe,address,user name,display name,profile image,eliminated day
red,0xb393A72280b962E6949f98Df02F4F209D4a65991,JoeyIny,Joey Iny,https://pbs.twimg.com/profile_images/1484227992830152706/vG9X3dyd_normal.png,4
blue,0x5fC3aFaeeF0fF1149cee3bd80C1B20DE629dF880,0xm1k4,M1K4,https://pbs.twimg.com/profile_images/1720988596113440768/TNzNTMzB_normal.png,4
white,0xE95330D7CDcd37bf0Ad875C29e2a2871FeFa3De8,0xshugo,shugo.eth,https://pbs.twimg.com/profile_images/1711317166685863936/pYbSolAP_normal.jpg,4
blue,0x2300C67365E8D0Db283Cd3772237183bEABF41bc,dongambas,cameron | dongambas.eth,https://pbs.twimg.com/profile_images/1699210596246544384/XftKiW_v_normal.jpg,4
gold,0x5F7670321668e6db551E39e7A5DFF443d42Dc97f,white_house_eth,white-house.eth,https://pbs.twimg.com/profile_images/1673784993775071232/q70kFuIX_normal.jpg,4
yellow,0xDC40CbF86727093c52582405703e5b97D5C64B66,0xMasonH,Mason Hall,https://pbs.twimg.com/profile_images/1509678416777428994/joV432vx_normal.png,4
gold,0x58f7755998Bbb778175D3361eD2437ABD9e5aBB5,dcwj,dcj,https://pbs.twimg.com/profile_images/1600201061851070492/y8rTc35Z_normal.png,4
yellow,0x0C71557b4aD81E07034DD9C04E232f17BB0B4Aa3,SpencerMarell,Spencer,https://pbs.twimg.com/profile_images/1693695408588062722/sKdL9bWg_normal.jpg,4
gold,0x9dD7D725982BF9bB1CF1c5ecaC3Ca68e0bDBD2B9,OnlyWailoaloa,Wailoaloa.eth 👹,https://pbs.twimg.com/profile_images/1615257692293169152/QMspjI31_normal.jpg,4
pink,0x7b78F347cc40F15344EDE278EcEC4E39E1F15485,NTBro,trunzo.eth 💜🦇🔊,https://pbs.twimg.com/profile_images/1669733508158492672/ME5pdAzC_normal.jpg,4
white,0xe3abCD85AA20279297ae52552758D6C4878c5d0C,0xlxy,lixingyu.eth,https://pbs.twimg.com/profile_images/1679774922921607169/BBXzy89E_normal.png,4
