tribe,address,user name,display name,profile image,eliminated day
pink,0x1fb9330325782Dc0e0865254334057D446dE22F5,derek_hsue,Derek Hsue,https://pbs.twimg.com/profile_images/1038927969312432128/VvkoC1-__normal.jpg,
green,0xAf153E755F59BB62ba8A5b7e5FfDB71c0aC43305,winnyeth,winny.eth,https://pbs.twimg.com/profile_images/1716574480993071104/j58mjsfX_normal.jpg,
purple,0xF24d6191f84d1c17515E3a26B036E2AB12FE5C39,alexcarrabre,AlΞx Carrabre,https://pbs.twimg.com/profile_images/1545401441099079680/Xe7XcJNf_normal.jpg,
red,0x7Bd8312697dE0CdfF4baD83c6Deb208fF3bB30DC,kaimicahmills,Kai Micah Mills,https://pbs.twimg.com/profile_images/1573032955487797248/ClNvA__N_normal.jpg,
gold,0xb386e92aCf9279cebb13389811C22b77cC649Bd6,thomahov,Thomas Hov,https://pbs.twimg.com/profile_images/1742333359424950272/Fa_KRyJm_normal.jpg,
orange,0x0f9b1b68f848Cb65F532BC12825357201726d3d2,iamnickdoteth,iamnick.eth,https://pbs.twimg.com/profile_images/1704479714524397568/9Dy3bQM4_normal.jpg,
yellow,0x323596422e7d65a73c6396bCe5B1809e178e1f8e,FonzGm,Fonz ᵍᵐ🍌,https://pbs.twimg.com/profile_images/1706382378254381056/cvp2ZQsf_normal.png,
pink,0x2F7A3f2Dda7Fd36ad4D0c002c0E8D7B1Dac668B7,0ceans404,steph.lens 🌊 oceans404.eth,https://pbs.twimg.com/profile_images/1508849365518991371/9wTyHYKr_normal.png,
yellow,0x7D41268e3a5A738d25fE521ac35dd437b95b6786,Rhynotic,Adam,https://pbs.twimg.com/profile_images/1650159428052692995/cjQCmKBT_normal.jpg,
gold,0xb812079f56502Af5D7140A32221A494fba9f3E22,_nityas,Nitya Subramanian,https://pbs.twimg.com/profile_images/1639836768995508227/jmGiRg4l_normal.jpg,
white,0x0D7A2FFd780B17C3f21Af98FdAfD9F543eD846a7,brad_or_bradley,bradorbradley^,https://pbs.twimg.com/profile_images/1407865444430614528/HCEKSw0T_normal.jpg,
yellow,0x302aE9D5BDD8f5125b1182cdd966Ff4eEd3E3aCF,medeana,deana,https://pbs.twimg.com/profile_images/1703454121913622528/HrAklaFf_normal.jpg,
yellow,0xBb6f397d9d8bf128dDa607005397F539B43CD710,0xasdf_eth,asdf,https://pbs.twimg.com/profile_images/1736820247145897984/Dwlk-WPd_normal.jpg,
yellow,0x260eb0ffCb01d9A117b57531997cD32f8B445aeB,blockheim,Blockheim,https://pbs.twimg.com/profile_images/1737275355499540480/JAP2dH7Y_normal.jpg,
orange,0x7c4aF548d26BcE1c397A839F5b1b5aF90B7cEfcE,0xNN2,Nick Naraghi 🧢,https://pbs.twimg.com/profile_images/1685845060858847232/ES5XnMPj_normal.jpg,
orange,0x9b3e886a7c03d001146e0a31212bf1b9FCd30983,lapgandhi,Lakshman,https://pbs.twimg.com/profile_images/1739609673047896064/f4j2Qv5s_normal.jpg,
silver,0xC5076D409eE4F4E964a13D485BfD6b7C548Dba34,Frediscurious,Fred,https://pbs.twimg.com/profile_images/1598079233372422149/ZGOJWccM_normal.jpg,
orange,0x63C28927bFceA56d3f030A178543177ac5E7cf2A,LaMoniRojas,Monica,https://pbs.twimg.com/profile_images/1661382146173353984/5ClvhVTW_normal.jpg,
green,0xB68A6a83CfCA2e7FDE2aa5749b85e753f55D58Cd,0xSkyMine,SkyMine 🦇🔊 | 🌶 | ℗⌐◨-◨ | 🌚,https://pbs.twimg.com/profile_images/1666639897048895490/abKpGLJ-_normal.jpg,
yellow,0xF36d39142aB65e4E2188B8c7e627c6a1E39d4A22,BoredOpepen,Bored Opepen,https://pbs.twimg.com/profile_images/1748871500890005504/8QbpTDct_normal.jpg,
gold,0xA5E1C37Ad90BAAcb791Cfa18506224D7c50f1619,_kinjalbshah,Kinjal Shah,https://pbs.twimg.com/profile_images/886739987760328704/7GacbFx0_normal.jpg,
blue,0x6596913Ec71C76b72Dc145ff9e5F04799Db881A4,thatgerald,Gerald Gallagher,https://pbs.twimg.com/profile_images/1722678279768064000/7kVDaLtm_normal.jpg,
purple,0xde80b69637CaF8B113568ADb7aa02B24c3CfDb04,FernandaWa6017,Fernanda Washington,https://pbs.twimg.com/profile_images/1739319117557948416/cBE076dq_normal.jpg,
silver,0xbfDb50Dc66C8Df9fd9688D8fe5A0C34126427645,MarkBeylin,Mark Beylin,https://pbs.twimg.com/profile_images/1476347665134796809/2Wo9cuWf_normal.jpg,
purple,0xCD7F1f5470D11eA032422CdA6fFF014694185b95,0xpratik,pratik 🦇🔊,https://pbs.twimg.com/profile_images/1744800364539580416/LUed9AYh_normal.jpg,
blue,0x2300C67365E8D0Db283Cd3772237183bEABF41bc,dongambas,cameron | dongambas.eth,https://pbs.twimg.com/profile_images/1699210596246544384/XftKiW_v_normal.jpg,
red,0xC5A2f28BAcF1425BFAEA14834486F0e9d0832155,arc4g,ARC,https://pbs.twimg.com/profile_images/1497497062836998152/iPgRjlLE_normal.jpg,
green,0xa2DD6e802EF15a8f18A7397c842F46E8c3130D2E,tj_littlejohn,teej ( math/acc ),https://pbs.twimg.com/profile_images/1734758455120973824/zDIebnsF_normal.png,
orange,0x41063a34b2Be6A0daaD1ddd904855E5e9d80aD7e,0x_wes,OhExWes,https://pbs.twimg.com/profile_images/1455558582813003783/h4DzO682_normal.jpg,
silver,0xE8a806bCdc89340efEa47FEfBf63A09DB3BBef2A,aiartistpsychic,"Jam, AI Art Psychic & Open Pop Star | All Pronouns",https://pbs.twimg.com/profile_images/1596730515800956929/DvOOuXr8_normal.jpg,
pink,0x11cd0aaf5bf73233651c867C2fbf6493185dFCd4,0xsmac,smac,https://pbs.twimg.com/profile_images/1683211280377675776/w1R5VHMv_normal.jpg,
white,0x80cef8f224Deb7cBbfbb6b1Afb6d89652e933d0F,shaaa256,shaaa.eth,https://pbs.twimg.com/profile_images/1610321099463741440/jD7OSXNr_normal.jpg,
gold,0xaf0f73C4cdD1AeaEf375f0cD002AA341aCeAe174,ImGordonSun,Gordon Sun,https://pbs.twimg.com/profile_images/1507019306218917900/NOa2a6bJ_normal.jpg,
white,0xD5A498Bbc6D21E4E1cdBB8fec58e3eCD7124FB43,koloz193,"Zach Kolodny (∎, ∆)",https://pbs.twimg.com/profile_images/1740366787584172032/Kg6DxkZ8_normal.jpg,
silver,0xcEd09CCFc82b091195bdE04E6Cd65374518E7b95,ddwchen,tree girl 🌲,https://pbs.twimg.com/profile_images/1725185305412857856/TGn5hWx0_normal.jpg,
white,0x830Eb79e2fd1c45b5b234767478cA101a4d00575,wiche232323,Wiche,https://pbs.twimg.com/profile_images/1727778213676322816/JHlSBjDc_normal.jpg,
green,0x942cBEa64876Ff0b2e23c0712B37Dc0091804e9c,patrickxrivera,patrick,https://pbs.twimg.com/profile_images/1711905320224583680/-t4h7-hC_normal.jpg,
purple,0xA3Cf7eA710814aFb6Ab1E3fdB8b5d51Ae9Db8Dc7,WizLikeWizard,Wiz 👨‍🚀,https://pbs.twimg.com/profile_images/1601703850246823937/FlH2N3_N_normal.jpg,
blue,0x17Ae58ab79444AD5b8EE2e232CaF13C65c32aF75,JKrantz,6457.eth,https://pbs.twimg.com/profile_images/1714013294594285568/p1ODx7YB_normal.jpg,
yellow,0x825728f78912B98ADFB06380F1fcDcDA76fd0f87,ettinger,Andrew Ettinger,https://pbs.twimg.com/profile_images/1458626503017742341/e4Piwmih_normal.jpg,
yellow,0x01503DC708ce3C55017194847A07aCb679D49f47,RattyMouseman,Patttttiiiiii,https://pbs.twimg.com/profile_images/1712420535496265728/TBzIFO0F_normal.jpg,
white,0xD3a58489C18b759BE1c282Ef8885F70cebc2f1F6,jonmacapodi,Jon Macapodi,https://pbs.twimg.com/profile_images/1610363075793756163/y7f3AeSJ_normal.jpg,
orange,0xD3E401814d1FaA8ca0419EccCBFeE93aC7B15B31,Komorebi8888,Komorebi88,https://pbs.twimg.com/profile_images/1585771286021611522/dRYOMolh_normal.jpg,
green,0xAbb485fdC925dc375B5d095a30fcae7f136Fd007,0xDesigner,0xDesigner,https://pbs.twimg.com/profile_images/1713576030063972352/qEdjq6VQ_normal.jpg,
red,0x10D6d2e343281D388291A3e02f3293AaEdA67178,HelloShreyas,Shreyas Hariharan,https://pbs.twimg.com/profile_images/1730404629047820288/aWvmR7Q__normal.jpg,
white,0xA2345316C55A5FA9c377fba14253947b3DEfb8a2,caitlinxyz,caitlin,https://pbs.twimg.com/profile_images/1740900515112685568/T4fvsgcY_normal.jpg,
orange,0xa776a67b8d0D5D61d219C6FdFC90680Db9EBc331,knowerofmarkets,knower,https://pbs.twimg.com/profile_images/1717261209420939264/u7Stghf6_normal.jpg,
orange,0x3fFc477e96c98a22218497667eBf776489CAaD89,clujso,David,https://pbs.twimg.com/profile_images/1678556269760618497/NeSD2FuF_normal.png,
white,0x32245e7E21c7aAFEbB67A331F3e0a3D32b64D36C,delovoyresearch,sangvin.lens l Delovoy DAO 👔,https://pbs.twimg.com/profile_images/1702682331620753408/aafYfTUN_normal.jpg,
white,0xA835812Bbc9303B9DF98d466a8df6CCE7988b659,cr0ssETH,cr0ss.eth,https://pbs.twimg.com/profile_images/1742051438455296000/RqgH8B8-_normal.jpg,
blue,0x9B138E61bc913654132CA6a0e1571fECe0f5B570,Prooflolz,prooflol.eth,https://pbs.twimg.com/profile_images/1636838003921256452/-Z_Y9ixI_normal.jpg,
red,0x5b98d864A86A0C53964d017997f3281f675C0840,maikaisogawa,Maika Isogawa,https://pbs.twimg.com/profile_images/1602801904945614848/7LSDdjfQ_normal.jpg,
purple,0xbB3Cb5Ffc56Ad59cb192333B63C0cfFd745E7D49,KrishJagirdar,Krish 🎮,https://pbs.twimg.com/profile_images/1742944433090203648/3erYCsxv_normal.jpg,
red,0x1f77d34deFF2B72B0A0258603eFFE72704742EBB,p3shoemaker,p3shoemaker,https://pbs.twimg.com/profile_images/1688223133621493761/q6s1tjD7_normal.jpg,
pink,0xE43894668934004720435E6359aAa25277163b6f,ManoppoMarco,Marco Manoppo,https://pbs.twimg.com/profile_images/1537452073880526851/FwGPrse8_normal.png,
pink,0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F,mediaquery,Marco,https://pbs.twimg.com/profile_images/1466350895080353792/KWZmMBDO_normal.jpg,
blue,0xe6aDEF9101D9694b6faC17B4f1629650768661B1,arjunblj,Arjun Balaji,https://pbs.twimg.com/profile_images/1596449169702535170/IjTirLOc_normal.jpg,
purple,0x016C8780e5ccB32E5CAA342a926794cE64d9C364,_anishagnihotri,Anish Agnihotri,https://pbs.twimg.com/profile_images/1218693788098416642/nBesFaW8_normal.jpg,
gold,0x58f7755998Bbb778175D3361eD2437ABD9e5aBB5,dcwj,dcj,https://pbs.twimg.com/profile_images/1600201061851070492/y8rTc35Z_normal.png,
silver,0x5e59Ac40c4D661E55a97C317A5002bf6D9E7109c,soz,soz,https://pbs.twimg.com/profile_images/1588676269809582086/MsiivpcI_normal.jpg,
pink,0x8874174A2366668d54fEa6343F71709389563c8a,lukecannon727,Luke Cannon 🧙🏽‍♂️ 🤙,https://pbs.twimg.com/profile_images/1749556613264871424/yqtPkIhM_normal.png,
gold,0x230d31EEC85F4063a405B0F95bdE509C0d0A8b5D,brockjelmore,brock,https://pbs.twimg.com/profile_images/1484238180463353866/CoeFFMyY_normal.png,
blue,0x94C7C5F905fC888DDC48c51A90b68DdEC44F8d8C,NadavAHollander,Nadav Hollander,https://pbs.twimg.com/profile_images/1751328733032579072/yHJLgDFy_normal.jpg,
orange,0xAd81e01B66D69f45d557D93bC746BFC3Db85bCaE,dcentgeo,"Geo (🪬,🪬)",https://pbs.twimg.com/profile_images/1725276877810524160/po9YXowN_normal.jpg,
yellow,0x86D6d66371e45ea795409FDb4b6f378878390C48,Swift_Kill,Alex Ramirez,https://pbs.twimg.com/profile_images/1621982820595007488/s34eMSYH_normal.jpg,
yellow,0xeA310C966D3Ff5E09c65487f1763B21361Eb71eF,grntwrght,grunt,https://pbs.twimg.com/profile_images/1657831473901375488/5WW25KYF_normal.png,
